lon,lat,Address,PlaceName
2.1645815564,41.3857081,"08007 Barcelona, Spain",Universitat
2.1668668545,41.3831913,"Plaça dels Àngels, 1, 08001 Barcelona, Spain",Barcelona Museum of Contemporary Art
-117.9368393,33.8151042,"1595 W Palais Rd, Anaheim, CA 92802, United States",Anaheim Stanton Skatepark
-117.9520839,34.0285231,"15600 Temple Ave, La Puente, CA 91744, United States",La Puente Skateboard Park
-117.9983603,33.7350329,"7471 Center Ave, Huntington Beach, CA 92647, United States",Vans Off The Wall Skatepark
-117.9376369,33.8147148,"1595 W Palais Rd, Anaheim, CA 92802, United States",Palm Lane Park
-118.2142397,33.8142306,"W 31st St, Long Beach, CA 90810, United States",Silverado Skate Park
-118.2957659,33.8763491,"1235 W 170th St, Gardena, CA 90247, United States",Marc Johnson Skate Plaza
-118.3161952,33.9114561,"13220 Van Ness Ave, Gardena, CA 90249, United States",Rowley Park Skate Plaza
-118.3021301,33.9839466,"1452 W 61st St, Los Angeles, CA 90047, United States",Jackie Tatum Skate Plaza
-118.4146412,33.9592304,"7200 W Manchester Ave, Los Angeles, CA 90045, United States",Westchester Skatepark
-118.4755252,33.9870426,"1800 Ocean Front Walk, Venice, CA 90291, United States",Venice Beach Skatepark
-118.4539783,34.0381251,"1835 Stoner Ave, Los Angeles, CA 90025, United States",Stoner Park
-118.3075015,34.0605603,"Radio Korea Ledges, S Oxford Ave, Los Angeles, CA 90010",Radio Korea Ledger
-118.2020111,34.0595436,"2230 Norfolk St, Los Angeles, CA 90033, United States",Hazard Recreation Center
-118.2580895,34.0769262,"1620 Sunset Blvd, Los Angeles, CA 90026, United States",Honey Hi
-118.1820506,34.0764366,"Klamath St, Los Angeles, CA 90032, United States",El Sereno Skatepark
-118.2465536,34.1066459,"2999 Rosanna St, Los Angeles, CA 90039, United States",Marsh Skate Park
-118.2666771,34.1338738,"Los Angeles, CA 90039, United States",Chevy Chase Park
-118.5045983,34.1887959,"17000 Haynes St, Van Nuys, CA 91406, United States",Birmingham Community High School
-118.7988891,34.1585083,"31107 Thousand Oaks Blvd, Westlake Village, CA 91362, United States",Westlake Skatepark
-117.2825192,33.0340906,"429 Santa Fe Dr, Encinitas, CA 92024, United States",Encinitas Skate Park
-117.1572653,32.7118035,"615 Eighth Ave, San Diego, CA 92101, United States",Lucky D's Hostel San Diego
-117.3085134,34.5071824,"16451 Pebble Beach Dr, Victorville, CA 92395, United States",Doris Davies Park
-77.36823013,40.9013423,"134 Sports Camp Dr, Woodward, PA 16882, United States",Woodward
-76.84751238,40.2398825,"642 3rd Alley, Steelton, PA 17113, United States",Steelton Skate Park
-80.67220962,28.0588779,"West Melbourne, FL 32904, United States",West Melbourne Skatepark
-82.64696607,27.7646586,"600 12th St S, St. Petersburg, FL 33705, United States",St. Pete Skatepark
-82.31803284,27.8952064,"5720 Providence Rd, Riverview, FL 33578, United States",Providence Skate Park
-82.41047637,27.9661124,"4215 E Columbus Dr, Tampa, FL 33605, United States",Skatepark of Tampa
-81.73110554,28.0306489,"Winter Haven, FL 33881, United States",Winter Haven Skatepark
-82.17093265,28.2234576,"20th St &, Alston Ave, Zephyrhills, FL 33542, United States",Zephyrhills Skatepark
-81.29650285,28.5454687,"Azalea Park, FL 32807, United States",azalea skate parking lot
-81.43879562,28.5073742,"4624 L B McLeod Rd, Orlando, FL 32811, United States",Metro Skateboard Academy
-81.33708711,28.7101808,"599 Longdale Ave, Longwood, FL 32750, United States",Candyland Park
-81.17715595,28.6456733,"1600 Lockwood Blvd, Oviedo, FL 32765, United States",Riverside Skate Park
-81.74314396,28.5729073,"Minneola, FL 34715, United States",Skate Park of Minnneola
-80.19999982,25.7758767,"NW 1st St &, NW 3rd Ave, Miami, FL 33128, United States",Lot 11 Skate Park
-81.37293342,28.5703134,"2020 N Orange Ave, Orlando, FL 32804, United States",Galactic G Skateshop
-81.35849654,28.5529184,"1646 E Colonial Dr #4804, Orlando, FL 32803, United States",Plus Skateshop Orlando
-118.2913861,34.1027836,"4651 Kingswell Ave, Los Angeles, CA 90027, United States",KINGSWELL
-118.2870946,34.0958456,"4501 Fountain Ave, Los Angeles, CA 90029, United States",Boo’s Philly Cheesesteaks - Silverlake
